TrackerName,TrackedBuffId
[Food] S1 lvl 1 (ATK +15),2032011
[Food] S1 lvl 2 (ATK +30),2032012
[Food] S1 lvl 3 (ATK +45),2032013
[Food] S1 lvl 4 (ATK +60),2032014
[Food] S1 lvl 5 (ATK +75),2032015
[Food] S1 lvl 6 (ATK +105),2032016
[Food] S1 lvl 7 (ATK +120),2032017
[Food] S1 lvl 8 (ATK +150),2032018
[Food] S1 lvl 1 (MATK +15),2032021
[Food] S1 lvl 2 (MATK +30),2032022
[Food] S1 lvl 3 (MATK +45),2032023
[Food] S1 lvl 4 (MATK +60),2032024
[Food] S1 lvl 5 (MATK +75),2032025
[Food] S1 lvl 6 (MATK +105),2032026
[Food] S1 lvl 7 (MATK +120),2032027
[Food] S1 lvl 8 (MATK +150),2032028
[Food] S1 lvl 1 (Armor +80),2032031
[Food] S1 lvl 2 (Armor +160),2032032
[Food] S1 lvl 3 (Armor +240),2032033
[Food] S1 lvl 4 (Armor +320),2032034
[Food] S1 lvl 5 (Armor +400),2032035
[Food] S1 lvl 6 (Armor +560),2032036
[Food] S1 lvl 7 (Armor +640),2032037
[Food] S1 lvl 8 (Armor +800),2032038
[Food] S1 lvl 1 (Endurance +45),2032041
[Food] S1 lvl 2 (Endurance +90),2032042
[Food] S1 lvl 3 (Endurance +135),2032043
[Food] S1 lvl 4 (Endurance +225),2032044
[Food] S1 lvl 5 (Endurance +450),2032045
[Food] S1 lvl 6 (Endurance +825),2032046
[Food] S1 lvl 7 (Endurance +1050),2032047
[Food] S1 lvl 8 (Endurance +1500),2032048
[Food] S1 lvl 1 (Restores 105 HP /s),2032051
[Food] S1 lvl 2 (Restores 210 HP /s),2032052
[Food] S1 lvl 3 (Restores 315 HP /s),2032053
[Food] S1 lvl 4 (Restores 525 HP /s),2032054
[Food] S1 lvl 5 (Restores 1050 HP /s),2032055
[Food] S1 lvl 6 (Restores 1925 HP /s),2032056
[Food] S1 lvl 7 (Restores 2450 HP /s),2032057
[Food] S1 lvl 8 (Restores 3500 HP /s),2032058
"[Food] S1 lvl 1 (ATK +75, +5%)",2032065
"[Food] S1 lvl 2 (ATK +120, +10%)",2032067
"[Food] S1 lvl 1 (MATK +75, +5%)",2032075
"[Food] S1 lvl 2 (MATK +120, +10%)",2032077
"[Food] S1 lvl 1 (Armor +400, DMG Taken -5%)",2032086
"[Food] S1 lvl 2 (Armor +640, DMG Taken -10%)",2032088
[Food] S2 lvl 1 (ATK +90),2032111
