# scene_id	dungeon_id	play_type	difficulty	name
1001	1001	2		Tina's Mindrealm
1002	1002	2		Tina's Mindrealm
1011	1011	8		Unstable - Tina's Mindrealm
1021	1021	8		Unstable - Tina's Mindrealm
1031	1031	9	Normal	Tina's Mindrealm
1031	1631	9	Normal	Void - Tina's Mindrealm
1032	1032	9	Hard	Tina's Mindrealm
1032	1632	9	Hard	Void - Tina's Mindrealm
1033	1033	17	Master 1	Tina's Mindrealm
1101	1101	2		Towering Ruin
1102	1102	2		Towering Ruin
1111	1111	8		Unstable - Towering Ruin
1112	1112	8		Unstable - Towering Ruin
1121	1121	9	Normal	Towering Ruin
1122	1122	9	Hard	Towering Ruin
1123	1123	17	Master 1	Towering Ruin
1150	1150	17	Master 1	Void - Towering Ruin
1151	1151	9	Hard	Void - Towering Ruin
1152	1152	9	Normal	Void - Towering Ruin
1153	1153	8		Unstable Space - Void - Towering Ruin
1154	1154	8		Unstable Space - Void - Towering Ruin
1201	1201	2		Dragon Claw Valley
1202	1202	2		Dragon Claw Valley
1211	1211	8		Unstable - Dragon Claw Valley
1212	1212	8		Unstable - Dragon Claw Valley
1221	1221	9	Normal	Dragon Claw Valley
1222	1222	9	Hard	Dragon Claw Valley
1223	1223	17	Master 1	Dragon Claw Valley
1231	1231	8		Unstable - Dragon Claw Valley
1232	1232	8		Unstable - Dragon Claw Valley
1233	1233	9	Normal	Dragon Claw Valley
1234	1234	9	Hard	Dragon Claw Valley
1235	1235	17	Master 1	Dragon Claw Valley
1301	1301	2		Dark Mist Fortress
1301	1399	2		Level quest test
1302	1302	2		Dark Mist Fortress
1311	1311	8		Unstable - Dark Mist Fortress
1321	1321	8		Unstable - Dark Mist Fortress
1331	1331	9	Normal	Dark Mist Fortress
1332	1332	9	Hard	Dark Mist Fortress
1333	1333	17	Master 1	Dark Mist Fortress
1401	1401	2		Illusory Moonveil Wilds
1402	1402	2		Illusory Moonveil Wilds
1403	1403	2		Illusory Moonveil Wilds
1411	1411	8		Unstable - Illusory Moonveil Wilds
1412	1412	8		Unstable - Illusory Moonveil Wilds
1421	1421	9	Normal	Illusory Moonveil Wilds
1422	1422	9	Hard	Illusory Moonveil Wilds
1423	1423	17	Master 1	Illusory Moonveil Wilds
1501	1501	2		Rock Serpent Lair
1501	1502	2		Rock Serpent Lair
1511	1511	8		Unstable - Rock Serpent Lair
1512	1512	8		Unstable - Rock Serpent Lair
1521	1521	9	Normal	Rock Serpent Lair
1522	1522	9	Hard	Rock Serpent Lair
1531	1531	8		Unstable - Rock Serpent Lair
1532	1532	8		Unstable - Rock Serpent Lair
1533	1533	17	Master 1	Rock Serpent Lair
1601	1601	2		Tina's Mindrealm
1602	1602	2		Tina's Mindrealm
1611	1611	8		Unstable - Tina's Mindrealm
1612	1612	8		Unstable - Tina's Mindrealm
1621	1621	9	Normal	Void - Tina's Mindrealm
1622	1622	9	Hard	Void - Tina's Mindrealm
1623	1623	17	Master 1	Void - Tina's Mindrealm
1631	1631	8		Unstable Space - Void - Tina's Mindrealm
1632	1632	8		Unstable Space - Void - Tina's Mindrealm
1633	1633	17	Master 1	Void - Tina's Mindrealm
5000	5000	1		Content mechanism test scene
5033	5033	1		Tower Ruins
5200	5200	1		Lamond's Office
5206	5206	1		Asterleeds
5211	5211	1		Lamond's Office
5220	5220	1		Asterleeds
5401	5401	1		Kanamia Forest
5403	5403	1		Kanamia Brave Trial
5501	5501	1		Dragon Claw Valley
5602	5602	1		Fafala's Home
5604	5604	1		Fafala's Home
5811	5811	1		Smelting Furnace Pipes
6001	6001	2		Goblin Lair
6002	6002	2		Goblin Lair
6003	6003	2		Goblin Lair
6004	6004	2		Goblin Lair
6005	6005	8		Unstable - Goblin Lair
6005	6111	8		Unstable - Wraith Shrine
6006	6006	8		Unstable - Goblin Lair
6006	6112	8		Unstable - Wraith Shrine
6007	6007	9	Normal	Goblin Lair
6008	6008	9	Hard	Goblin Lair
6009	6009	17	Master 1	Goblin Lair
6011	6011	2		Kanamia Trial
6012	6012	2		Kanamia Trial
6013	6013	2		Kanamia Trial
6014	6014	2		Kanamia Trial
6015	6015	8		Unstable - Kanamia Trial
6016	6016	8		Unstable - Kanamia Trial
6017	6017	9	Normal	Kanamia Trial
6018	6018	9	Hard	Kanamia Trial
6019	6019	17	Master 1	Kanamia Trial
6021	6021	2		Wraith Shrine
6022	6022	2		Wraith Shrine
6023	6023	17	Master 1	Kanamia Trial
6025	6025	8		Unstable - Wraith Shrine
