monster/boss/targetableentity name,id
Muku - Heavy Suppressor,33510
Muku - Flame Axe Reaper Type Zero,33511
Muku - Hammer Siegebreaker Type Zero,33512
Muku - Halo Sniper,33513
Assembly Point,33514
Electrical Energy,33515
Part 2,33516
Part 3,33517
Turret,33518
Phase Transition Fire Tornado,33519
Phase Transition Bullet Absorption Point,33520
Muku - Cyborg Hound,33521
Muku - Mecha Enforcer,33522
Muku - Heavy Suppressor,33523
Muku - Flame Axe Reaper Type Zero,33524
Muku - Hammer Siegebreaker Type Zero,33525
Muku - Halo Sniper,33526
Blackstone Legion Gunner,33527
Blackstone Legion Shield,33528
Blackstone Legion Warrior,33529
Blackstone Legion Trooper,33530
Blackstone Commander,33531
Blackstone Vanguard,33532
Turret Base,33533
Ruby,33534
Explosion Point,33535
Blocked Steam,33536
Turret,33537
Explosion,33538
Mid-Path Diffusing Steam,33539
Mid-Path Rectangular Steam Trap,33540
Door Opening Crystal Interactable Object,33541
Factory Ruins,33542
Ruby,33543
Fire Tornado Fake Bullet,33544
Dungeon Route Guide,33545
Team Wipe Damage Below Normal Difficulty,33546
Factory Ruins,33547
Factory Ruins,33548
Prismatic Explosion,33549
Slumbering Scholar,33601
Tina - Void Reverie,33701
Tina - Void Reverie (Clone),33702
Byrnhald Rifleman,33703
Byrnhald Tank,33704
Byrnhald Swordsman,33705
Kanamia Triber Spirit,33706
Tina - Void Reverie,33707
Tina - Void Reverie,33708
Tina - Void Reverie,33709
Tina Standing Position,33799
Mist-Piercing Fang,33801
Rending Gale Orb,33802
Great Warhog,33803
Void Bzzar,33804
Rock Lizard,33805
Swift Eagle,33806
Foxen,33807
Mountain Boar,33808
Explosive Bee,33809
Magma Lizard,33810
Plains Eagle,33811
Foxen,33812
Halo Hunter,33813
Divine Punisher,33901
Divine Punisher Recolor 1,33902
Divine Punisher Recolor 2,33903
Engram Tower,33904
Engram Tower,33905
Hovering Cannon,33906
Hovering Cannon,33907
Charging Clone (Left Light Sword),33908
Charging Clone (Right Light Sword),33909
Tripod Heavy Oculopod,33910
Tripod Oculopod,33911
Tomb Guardian,33912
Mournful Retrospection,33913
Terminal Scanner,33914
Photonic Eye,33915
[Boss] Tomb Golem 9,33916
Hovering Cannon,33920
Charging Clone (Instant Left Light Sword),33921
